Date;Service;Departure station;Arrival station;Average journey time;Number of scheduled trains;Number of cancelled trains;Cancellation comments;Number of trains delayed at departure;Average delay of late trains at departure;Average delay of all trains at departure;Departure delay comments;Number of trains delayed at arrival;Average delay of late trains at arrival;Average delay of all trains at arrival;Arrival delay comments;Number of trains delayed > 15min;Average delay of trains > 15min (if competing with flights);Number of trains delayed > 30min;Number of trains delayed > 60min;Pct delay due to external causes;Pct delay due to infrastructure;Pct delay due to traffic management;Pct delay due to rolling stock;Pct delay due to station management and equipment reuse;Pct delay due to passenger handling (crowding, disabled persons, connections)
2018-01;National;PARIS LYON;BESANCON FRANCHE COMTE TGV;128.0;202.0;2.0;None;25.0;11.62066667;0.0;None;23.0;31.26884058;5.84925;None;260.39253670473084;5.84925;8.0;2.0;218.89587774190275;36.36363636;9.090909091;31.81818182;9.090909091;0.0
2018-01;National;PARIS LYON;DIJON VILLE;1702.5938009787928;468.0;6.0;None;62.0;11.56935484;1.227525253;None;40.0;31.12083333;3.146212121;None;32.0;3.146212121;16.0;4.0;218.89587774190275;40.0;17.14285714;25.71428571;2.857142857;0.0
2018-01;National;PARIS LYON;MONTPELLIER;209.0;294.0;0.0;None;47.0;12.22801418;1.626247166;None;37.0;345.3266769288485;4.363038549;None;37.0;346.4742866898222;19.0;6.0;25.71428571;45.71428571;11.42857143;14.28571429;2.857142857;0.0
2018-01;National;VALENCE ALIXAN TGV;PARIS LYON;132.0;280.0;2.0;None;130.0;11.22217949;5.252158273;None;48.0;0.0;0.0;None;45.0;5.893585132;21.0;7.0;17.5;37.5;12.5;25.0;2.5;5.0
2018-01;International;MARSEILLE ST CHARLES;MADRID;464.0;15.0;94.94596247960848;None;1.0;13.96666667;1.165555556;None;3.0;28.0;3.2;None;3.0;3.2;1.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0
2018-01;International;STUTTGART;PARIS EST;185.0;154.0;5.0;None;124.0;4.631989247;3.918232662;None;12.0;34.57777778;58.47323134889636;None;12.0;4.045525727;4.0;1.0;41.66666667;25.0;0.0;16.66666667;0.0;16.66666667
2018-01;National;LE MANS;PARIS MONTPARNASSE;56.0;0.0;1.0;None;213.0;8.479968701;4.567119342;None;105.0;18.04904762;5.363539095;None;32.0;346.4742866898222;0.0;0.0;20.0;35.0;16.66666667;16.66666667;8.333333333;3.333333333
2018-01;National;PARIS MONTPARNASSE;RENNES;97.0;590.0;1.0;None;79.0;10.08860759;1.029654782;None;107.0;21.10280374;4.968336163;None;35.0;4.968336163;12.0;7.0;12.65822785;41.7721519;18.98734177;24.05063291;2.53164557;0.0
2018-01;National;ST MALO;PARIS MONTPARNASSE;158.0;92.0;0.0;None;2.0;1.225;0.0625;None;10.0;24.975;58.47323134889636;None;6.0;4.763978495;3.0;1.0;22.22222222;66.66666667;0.0;11.11111111;0.0;75.91572970554272
2018-01;National;ARRAS;PARIS NORD;51.0;312.0;4.0;None;118.0;8.863983051;3.56525974;None;64.0;22.25078125;5.351785714;None;16.0;5.351785714;9.0;5.0;24.32432432;21.62162162;35.13513514;13.51351351;5.405405405;0.0
2018-01;National;MARSEILLE ST CHARLES;LILLE;307.0;187.0;2.0;None;40.0;8.270416667;30.62165761769024;None;37.0;345.3266769288485;10.79558559;None;260.39253670473084;10.79558559;19.0;7.0;32.25806452;218.65088787857883;9.677419355;12.90322581;3.225806452;6.451612903
2018-01;National;PARIS NORD;ARRAS;51.0;287.0;5.0;None;50.0;8.698333333;1.477186761;None;40.0;17.36916667;2.908333333;None;15.0;2.908333333;5.0;2.0;41.66666667;25.0;8.333333333;190.4200842324105;5.555555556;0.0
